WordID,Word
1,Monday
2,Tuesday
3,Wednesday
4,Thursday
5,Friday
6,Saturday
7,Sunday
8,January
9,February
10,April
11,June
12,July
13,august
14,September
15,October
16,November
17,December
18,zero
19,two
20,three
21,four
22,five
23,six
24,seven
25,eight
26,nine
27,ten
28,eleven
29,twelve
30,thirteen
31,fourteen
32,fifteen
33,sixteen
34,seventeen
35,eighteen
36,nineteen
37,twenty
38,thirty
39,forty
40,fifty
41,sixty
42,seventy
43,eighty
44,ninety
45,hundred
46,thousand
47,million
48,billion
49,trillion
50,quadrillion
51,the
52,be
53,and
54,of
55,to
56,a
57,in
58,have
59,it
60,you
61,he
62,for
63,they
64,not
65,that
66,we
67,on
68,with
69,this
70,I
71,do
72,as
73,at
74,she
75,but
76,from
77,by
78,will
79,or
80,say
81,go
82,so
83,all
84,if
85,one
86,would
87,about
88,can
89,which
90,there
91,know
92,more
93,get
94,who
95,like
96,when
97,think
98,make
99,time
100,see
101,what
102,up
103,some
104,other
105,out
106,good
107,people
108,year
109,take
110,no
111,well
112,because
113,very
114,just
115,come
116,could
117,work
118,use
119,than
120,now
121,then
122,also
123,into
124,only
125,look
126,want
127,give
128,first
129,new
130,way
131,find
132,over
133,any
134,after
135,day
136,where
137,thing
138,most
139,should
140,need
141,much
142,right
143,how
144,back
145,mean
146,even
147,may
148,here
149,many
150,such
151,last
152,child
153,tell
154,really
155,call
156,before
157,company
158,through
159,down
160,show
161,life
162,man
163,change
164,place
165,long
166,between
167,feel
168,too
169,still
170,problem
171,write
172,same
173,lot
174,great
175,try
176,leave
177,number
178,both
179,own
180,part
181,point
182,little
183,help
184,ask
185,meet
186,start
187,talk
188,something
189,put
190,another
191,become
192,interest
193,country
194,old
195,each
196,school
197,late
198,high
199,different
200,off
201,next
202,end
203,live
204,why
205,while
206,world
207,week
208,play
209,might
210,must
211,home
212,never
213,include
214,course
215,house
216,report
217,group
218,case
219,woman
220,around
221,book
222,family
223,seem
224,let
225,again
